code,recommendation
E006,Şarj devresi ve kablolar kontrol edilsin.
S011,Hidrolik yağ seviyesi ve filtre kontrolü yapılsın.
AMB03,Pervane mekanik bağlantıları kontrol edilsin.
FP100,Su pompası valfleri ve basınç şalteri kontrol edilsin.
FS01,Yangın algılama sensörleri temizlensin.
VMS17,Akü bağlantıları ve şarj devresi kontrol edilsin.
ENG_OIL_PRES_LOW,"Motor durdurulsun, yağ seviyesi ve kaçak kontrolü yapılsın."
ENG_COOL_TEMP_HIGH,"Motor rölantiye alınsın, soğutma sistemi incelensin."
TR_OIL_TEMP_HIGH,Şanzıman yağı seviyesi ve soğutma sistemi kontrol edilsin.
TR_HYD_PRES_LOW,Hidrolik pompa ve basınç hattı kontrol edilsin.
ELEC_BAT_LOW,Akü voltajı ve şarj sistemi kontrol edilsin.
ELEC_ALT_ERR,Alternatör ve regülatör kontrol edilsin.
COOL_LVL_LOW,Soğutma sıvısı seviyesi tamamlanıp sızdırmazlık kontrolü yapılsın.
COOL_FAN_ERR,Fan motoru ve elektrik bağlantıları kontrol edilsin.
AMPH_PROP_ERR,Amfibi pervane mekanik kontrolü yapılsın.
AMPH_PUMP_PRES_LOW,Amfibi pompa basınç hattı kontrol edilsin.
AMPH_SEAL_ERR,Sızdırmazlık yüzeyi ve conta kontrol edilsin.
FIRE_DET_ACT,Yangın söndürme sistemi hazır hale getirilsin.
FIRE_SYS_ERR,Otomatik yangın söndürme sistemi onarılsın.
OBS_CAM_ERR,Kamera ünitesi bağlantıları kontrol edilsin.
OBS_SENS_ERR,Sensör bağlantıları ve kalibrasyon kontrolü yapılsın.
WPN_SYS_ERR,Silah kontrol sisteminin haberleşmesi ve elektrik hattı kontrol edilsin.
